word,frequencies
fermentum,3
quam.,1
sollicitudin,4
vestibulum,4
fringilla,1
primis,2
dictumst.,1
consectetur,2
augue,2
facilisis,2
"felis,",1
morbi,2
interdum.,1
venenatis,3
porta,1
nec.,1
"amet,",2
ut,9
commodo,5
"nunc,",2
libero,2
rutrum,1
duis,2
hendrerit,1
ipsum.,1
tellus,4
praesent,2
"tellus,",1
faucibus,2
"justo,",2
ultrices,4
nec,3
vel,2
eget,4
ante,4
lacus,5
"quis,",2
bibendum,1
eros,3
"ullamcorper,",1
"tincidunt,",1
nam,1
ornare,5
ipsum,5
sem,3
vulputate.,1
habitasse,1
accumsan,1
"ut,",1
integer,2
sapien,3
mollis.,1
neque,4
nibh,1
"ultricies,",1
iaculis,3
nisl,2
"ac,",1
pulvinar.,2
amet,5
leo,2
sed.,1
ex.,1
gravida.,1
proin,3
cursus,1
mi.,2
erat.,1
posuere,4
odio.,1
elementum.,1
lobortis,1
orci.,1
"facilisis,",1
"nulla,",2
tristique,1
luctus,3
"lobortis,",1
euismod,1
vulputate,1
in,10
laoreet,1
metus,3
venenatis.,1
"aliquam,",1
"ex,",1
mattis.,1
mattis,1
"condimentum,",1
convallis,1
elit,2
quisque,2
nunc,4
cubilia,1
est,2
mauris,4
"vel,",1
rhoncus,4
eu,5
turpis,1
sem.,1
sodales,1
nibh.,2
"purus,",1
pulvinar,3
egestas,1
placerat,1
feugiat,2
"lacus,",1
felis,1
donec,4
auctor,4
fames,1
"est,",2
"mattis,",1
"sapien,",1
purus,1
"turpis,",1
tristique.,1
"at,",1
fusce,1
at,6
eleifend.,2
"vehicula,",1
ac,2
ultricies,1
"mauris,",1
iaculis.,2
malesuada,2
dignissim,2
tempor,2
porta.,1
tempus.,2
ullamcorper,1
phasellus,2
semper,3
ornare.,1
vehicula,2
aliquet,2
tortor,2
aliquam,1
odio,1
efficitur.,1
quis,5
laoreet.,1
vitae,3
volutpat,1
varius,1
platea,1
"in,",1
ligula.,3
consequat,1
mollis,1
etiam,1
adipiscing,1
ante.,2
dapibus,1
et.,1
ligula,1
curabitur,1
justo,1
faucibus.,1
efficitur,1
vitae.,1
"maximus,",1
pretium,2
tincidunt,3
tempus,1
sapien.,3
congue,3
non,4
scelerisque,3
elit.,1
a.,1
porttitor.,1
nisi,2
pellentesque,7
"augue,",1
orci,2
a,6
risus.,2
nisl.,1
sit,7
"sed,",1
finibus,2
hac,1
maecenas,3
mi,4
suscipit,1
viverra,4
nullam,3
"tortor,",1
blandit,5
interdum,4
nulla,8
et,9
tellus.,1
eleifend,4
vivamus,4
metus.,2
"eu,",1
urna,1
lorem,4
velit,2
mauris.,2
elementum,1
id,4
ex,2
imperdiet,1
dolor,3
gravida,2
condimentum.,1
sed,7
curae;,1
tincidunt.,2
arcu,1
"tempor,",1
"urna,",1
porttitor,3
enim,2
vehicula.,1
"neque,",1
molestie,1
"id,",1
